sentence,label,source,clean_sentence,token_count
So there is no way for me to plug it in here in the US unless I go by a converter.,0,amazon,way plug us unless go converter,6
"Good case, Excellent value.",1,amazon,good case excellent value,4
Great for the jawbone.,1,amazon,great jawbone,2
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,amazon,tied charger conversations lasting minutesmajor problems,6
The mic is great.,1,amazon,mic great,2
I have to jiggle the plug to get it to line up right to get decent volume.,0,amazon,jiggle plug get line right get decent volume,8
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,amazon,several dozen several hundred contacts imagine fun sending one one,10
If you are Razr owner...you must have this!,1,amazon,razr owneryou must,3
"Needless to say, I wasted my money.",0,amazon,needless say wasted money,4
What a waste of money and time!.,0,amazon,waste money time,3
And the sound quality is great.,1,amazon,sound quality great,3
He was very impressed when going from the original battery to the extended battery.,1,amazon,impressed going original battery extended battery,6
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amazon,two seperated mere ft started notice excessive static garbled sound headset,11
Very good quality though,1,amazon,good quality though,3
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,amazon,design odd ear clip comfortable,5
Highly recommend for any one who has a blue tooth phone.,1,amazon,highly recommend one blue tooth phone,6
I advise EVERYONE DO NOT BE FOOLED!,0,amazon,advise everyone fooled,3
So Far So Good!.,1,amazon,far good,2
Works great!.,1,amazon,works great,2
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,amazon,clicks place way makes wonder long mechanism would last,9
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,amazon,went motorolas website followed directions could get pair,8
I bought this to use with my Kindle Fire and absolutely loved it!,1,amazon,bought use kindle fire absolutely loved,6
The commercials are the most misleading.,0,amazon,commercials misleading,2
I have yet to run this new battery below two bars and that's three days without charging.,1,amazon,yet run new battery two bars thats three days without charging,11
I bought it for my mother and she had a problem with the battery.,0,amazon,bought mother problem battery,4
Great Pocket PC / phone combination.,1,amazon,great pocket pc phone combination,5
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,amazon,ive owned phone months say best mobile phone ive,9
I didn't think that the instructions provided were helpful to me.,0,amazon,didnt think instructions provided helpful,5
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,amazon,people couldnt hear talk pull earphone talk phone,8
Doesn't hold charge.,0,amazon,doesnt hold charge,3
"This is a simple little phone to use, but the breakage is unacceptible.",0,amazon,simple little phone use breakage unacceptible,6
This product is ideal for people like me whose ears are very sensitive.,1,amazon,product ideal people like whose ears sensitive,7
It is unusable in a moving car at freeway speed.,0,amazon,unusable moving car freeway speed,5
I have two more years left in this contract and I hate this phone.,0,amazon,two years left contract hate phone,6
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amazon,car charger well ac charger included make sure never run juicehighy recommended,12
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amazon,need least mins get phone book time first turn phonebattery life short,12
It has kept up very well.,1,amazon,kept well,2
Poor Talk Time Performance.,0,amazon,poor talk time performance,4
The case is great and works fine with the 680.,1,amazon,case great works fine,4
worthless product.,0,amazon,worthless product,2
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,amazon,great camera thats mp pics nice clear great picture quality,10
I was not impressed by this product.,0,amazon,impressed product,2
Nice headset priced right.,1,amazon,nice headset priced right,4
I only hear garbage for audio.,0,amazon,hear garbage audio,3
Excellent bluetooth headset.,1,amazon,excellent bluetooth headset,3
It has all the features I want,1,amazon,features want,2
Who in their right mind is gonna buy this battery?.,0,amazon,right mind gonna buy battery,5
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amazon,arguing verizon regarding dropped calls returned phones two days,9
This case seems well made.,1,amazon,case seems well made,4
Disappointed with battery.,0,amazon,disappointed battery,2
Not loud enough and doesn't turn on like it should.,0,amazon,loud enough doesnt turn like,5
good protection and does not make phone too bulky.,1,amazon,good protection make phone bulky,5
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amazon,usable keyboard actually turns pda realworld useful machine instead neat gadget,11
This phone is pretty sturdy and I've never had any large problems with it.,1,amazon,phone pretty sturdy ive never large problems,7
I love this thing!,1,amazon,love thing,2
Everything about it is fine and reasonable for the price i.e.,1,amazon,everything fine reasonable price ie,5
VERY DISAPPOINTED.,0,amazon,disappointed,1
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,amazon,even dropped phone stream submerged seconds still works great,9
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,amazon,happy complaints one regarding sound quality end,7
The buttons for on and off are bad.,0,amazon,buttons bad,2
Essentially you can forget Microsoft's tech support.,0,amazon,essentially forget microsofts tech support,5
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amazon,really recommend faceplates since looks nice elegant cool,8
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,amazon,headphones great find think perhaps best purchase ive made last several years seriously,13
Buy a different phone - but not this.,0,amazon,buy different phone,3
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,amazon,hold phone particular angle party hear clearly,7
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,amazon,one big drawback mp player buttons phones front cover let pause skip songs lock seconds,15
"A week later after I activated it, it suddenly died.",0,amazon,week later activated suddenly died,5
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,amazon,feels comfortable headsets wear glasses gets way sometimes,8
Great for iPODs too.,1,amazon,great ipods,2
This device is great in several situations:1.),1,amazon,device great several situations,4
Mic Doesn't work.,0,amazon,mic doesnt work,3
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amazon,even bmw series fairly quiet trouble hearing person saying,9
Great choice!,1,amazon,great choice,2
Nice docking station for home or work.,1,amazon,nice docking station home work,5
This is a beautiful phone.,1,amazon,beautiful phone,2
Love this product.,1,amazon,love product,2
Do Not Buy for D807...wrongly advertised for D807.,0,amazon,buy dwrongly advertised,3
This is a great little item.,1,amazon,great little item,3
"I love this phone , It is very handy and has a lot of features .",1,amazon,love phone handy lot features,5
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amazon,purchased within days longer working,5
I wear it everyday and it holds up very well.,1,amazon,wear everyday holds well,4
Not a good bargain.,0,amazon,good bargain,2
"Well packaged, arrived on time, and works as intended.",1,amazon,well packaged arrived time works intended,6
The battery runs down quickly.,0,amazon,battery runs quickly,3
